feature,null_rate
loss_avg_5_V,0.010175704714953862
clean_sheet_avg_5_V,0.010175704714953862
points_sum_5_V,0.010175704714953862
failed_to_score_avg_5_V,0.010175704714953862
btts_avg_5_V,0.010175704714953862
over_2_5_avg_5_V,0.010175704714953862
last_match_date_pre_V,0.010175704714953862
win_avg_20_V,0.010175704714953862
goal_diff_avg_20_V,0.010175704714953862
points_avg_20_V,0.010175704714953862
goal_diff_avg_10_V,0.010175704714953862
goals_against_avg_10_V,0.010175704714953862
weighted_points_avg_5_V,0.010175704714953862
goals_for_avg_10_V,0.010175704714953862
goals_for_avg_20_V,0.010175704714953862
weighted_points_avg_10_V,0.010175704714953862
points_sum_10_V,0.010175704714953862
goals_against_avg_20_V,0.010175704714953862
btts_avg_10_V,0.010175704714953862
failed_to_score_avg_10_V,0.010175704714953862
clean_sheet_avg_10_V,0.010175704714953862
loss_avg_10_V,0.010175704714953862
draw_avg_10_V,0.010175704714953862
win_avg_10_V,0.010175704714953862
points_avg_10_V,0.010175704714953862
over_2_5_avg_10_V,0.010175704714953862
draw_avg_20_V,0.010175704714953862
loss_avg_20_V,0.010175704714953862
clean_sheet_avg_20_V,0.010175704714953862
goals_against_avg_20_L,0.009543673366198964
goals_for_avg_20_L,0.009543673366198964
points_sum_5_L,0.009543673366198964
over_2_5_avg_5_L,0.009543673366198964
btts_avg_5_L,0.009543673366198964
points_avg_5_L,0.009543673366198964
win_avg_5_L,0.009543673366198964
draw_avg_5_L,0.009543673366198964
loss_avg_5_L,0.009543673366198964
goals_for_avg_5_L,0.009543673366198964
goals_against_avg_5_L,0.009543673366198964
failed_to_score_avg_5_L,0.009543673366198964
clean_sheet_avg_5_L,0.009543673366198964
last_match_date_pre_L,0.009543673366198964
goal_diff_avg_5_L,0.009543673366198964
points_avg_20_L,0.009543673366198964
goal_diff_avg_20_L,0.009543673366198964
goal_diff_avg_10_L,0.009543673366198964
loss_avg_20_L,0.009543673366198964
clean_sheet_avg_20_L,0.009543673366198964
win_avg_20_L,0.009543673366198964
failed_to_score_avg_20_L,0.009543673366198964
btts_avg_20_L,0.009543673366198964
points_sum_20_L,0.009543673366198964
over_2_5_avg_20_L,0.009543673366198964
weighted_points_avg_20_L,0.009543673366198964
points_sum_10_L,0.009543673366198964
weighted_points_avg_10_L,0.009543673366198964
draw_avg_10_L,0.009543673366198964
draw_avg_20_L,0.009543673366198964
days_since_last_match_pre_L,0.009543673366198964
failed_to_score_avg_10_L,0.009543673366198964
btts_avg_10_L,0.009543673366198964
over_2_5_avg_10_L,0.009543673366198964
points_avg_10_L,0.009543673366198964
goals_for_avg_10_L,0.009543673366198964
weighted_points_avg_5_L,0.009543673366198964
loss_avg_10_L,0.009543673366198964
clean_sheet_avg_10_L,0.009543673366198964
win_avg_10_L,0.009543673366198964
goals_against_avg_10_L,0.009543673366198964
neutral,0.0
peso_competicion,0.0
prev_matches_count_L,0.0
scoring_streak_pre_L,0.0
win_streak_pre_L,0.0
unbeaten_streak_pre_L,0.0
unbeaten_streak_pre_V,0.0
win_streak_pre_V,0.0
scoring_streak_pre_V,0.0
prev_matches_count_V,0.0
elo_visitante_pre,0.0
h2h_matches,0.0
h2h_weight_sum,0.0
diff_elo_pre,0.0
elo_prob_local_pre,0.0
elo_local_pre,0.0
diff_prev_matches_count,0.0
diff_unbeaten_streak_pre,0.0
diff_win_streak_pre,0.0
diff_scoring_streak_pre,0.0
